level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3942	6200	-1	
2	1	1	0	0	0	37	842	348	42	-1	
3	1	1	1	0	0	37	842	348	42	-1	
4	1	1	1	1	0	37	842	348	42	-1	
5	1	1	1	1	1	37	844	43	35	96.343559	वर्ष
5	1	1	1	1	2	100	854	31	28	96.957603	२१
5	1	1	1	1	3	153	847	52	32	95.988831	अंक
5	1	1	1	1	4	224	854	15	30	96.154205	३
5	1	1	1	1	5	258	842	127	39	96.166420	काठमाडौं
2	1	2	0	0	0	25	984	370	7	-1	
3	1	2	1	0	0	25	984	370	7	-1	
4	1	2	1	1	0	25	984	370	7	-1	
5	1	2	1	1	1	25	984	370	7	95.000000	 
2	1	3	0	0	0	25	955	375	257	-1	
3	1	3	1	0	0	25	955	370	257	-1	
4	1	3	1	1	0	25	955	370	105	-1	
5	1	3	1	1	1	25	955	370	105	96.085030	पारसलाई
4	1	3	1	2	0	25	1118	375	94	-1	
5	1	3	1	2	1	25	1118	375	94	0.000000	हृदयाघात
2	1	4	0	0	0	27	1265	447	880	-1	
3	1	4	1	0	0	27	1265	447	880	-1	
4	1	4	1	1	0	27	1265	357	166	-1	
5	1	4	1	1	1	27	1265	192	166	0.000000	४
5	1	4	1	1	2	272	1272	112	50	93.231544	काठमाडौं
4	1	4	1	2	0	27	1322	447	55	-1	
5	1	4	1	2	1	27	1327	11	19	59.151920	r
5	1	4	1	2	2	216	1340	33	37	51.918663	%
5	1	4	1	2	3	278	1334	83	23	0.000000	कार
5	1	4	1	2	4	378	1322	96	34	95.383202	बैंककमा
4	1	4	1	3	0	215	1380	258	32	-1	
5	1	4	1	3	1	215	1380	124	30	0.000000	रहेका
5	1	4	1	3	2	353	1380	120	32	96.899559	पूर्वयुवराज
4	1	4	1	4	0	78	1425	370	27	-1	
5	1	4	1	4	1	78	1437	4	5	51.965137	५
5	1	4	1	4	2	276	1426	62	23	96.062157	पारस
5	1	4	1	4	3	353	1425	95	27	95.054626	शाहलाई
4	1	4	1	5	0	39	1410	428	93	-1	
5	1	4	1	5	1	39	1446	68	30	42.106224	_
5	1	4	1	5	2	132	1459	54	17	25.982727	निता
5	1	4	1	5	3	210	1410	39	66	78.149559	d
5	1	4	1	5	4	276	1471	41	28	96.993347	एक
5	1	4	1	5	5	332	1462	135	41	72.778595	शुभेच्छुकको
4	1	4	1	6	0	28	1507	441	34	-1	
5	1	4	1	6	1	28	1517	65	23	96.511940	घरमा
5	1	4	1	6	2	107	1507	112	34	96.272758	बसिरहेका
5	1	4	1	6	3	234	1508	50	31	96.352539	बेला
5	1	4	1	6	4	299	1511	105	29	96.495071	मंगलबार
5	1	4	1	6	5	419	1507	50	33	95.975555	राति
4	1	4	1	7	0	28	1554	252	41	-1	
5	1	4	1	7	1	28	1563	111	32	92.120644	हृदयाघात
5	1	4	1	7	2	154	1554	70	37	96.633736	भएको
5	1	4	1	7	3	239	1563	23	25	70.472710	छ
5	1	4	1	7	4	278	1563	2	22	70.472710	।
4	1	4	1	8	0	63	1599	294	42	-1	
5	1	4	1	8	1	63	1599	89	33	96.361343	स्थानीय
5	1	4	1	8	2	167	1600	104	41	96.531731	शुभेच्छुक
5	1	4	1	8	3	286	1599	71	42	96.395523	सुनिल
4	1	4	1	9	0	28	1645	395	41	-1	
5	1	4	1	9	1	28	1646	107	40	44.124741	खड्काको
5	1	4	1	9	2	150	1655	65	22	96.855835	घरमा
5	1	4	1	9	3	232	1655	72	23	96.618210	आराम
5	1	4	1	9	4	319	1645	104	34	96.721313	गरिरहेका
4	1	4	1	10	0	28	1691	406	42	-1	
5	1	4	1	10	1	28	1692	50	31	95.996239	बेला
5	1	4	1	10	2	92	1691	90	33	96.277710	स्थानीय
5	1	4	1	10	3	196	1701	148	32	96.541077	समयअनुसार
5	1	4	1	10	4	359	1692	75	32	96.653923	रातको
4	1	4	1	11	0	28	1736	368	40	-1	
5	1	4	1	11	1	28	1744	69	27	95.783653	११:१५
5	1	4	1	11	2	114	1746	30	22	96.597862	मा
5	1	4	1	11	3	159	1736	109	36	96.136246	पारसलाई
5	1	4	1	11	4	283	1746	113	30	96.510925	हृदयाघात
4	1	4	1	12	0	29	1780	352	42	-1	
5	1	4	1	12	1	29	1783	70	37	95.999710	भएको
5	1	4	1	12	2	113	1782	56	32	92.157455	थियो
5	1	4	1	12	3	186	1792	2	22	92.039360	।
5	1	4	1	12	4	205	1780	176	42	91.432365	हृदयाघातलगत्तै
4	1	4	1	13	0	28	1828	404	42	-1	
5	1	4	1	13	1	28	1828	89	32	93.297371	स्थानीय
5	1	4	1	13	2	132	1828	152	42	83.459641	कम्युनिटीभेज
5	1	4	1	13	3	301	1838	131	23	96.470177	अस्पतालमा
4	1	4	1	14	0	28	1874	399	38	-1	
5	1	4	1	14	1	28	1874	67	38	91.721924	लगिए
5	1	4	1	14	2	110	1874	44	32	92.693550	पनि
5	1	4	1	14	3	169	1884	149	23	90.926163	मध्यरातसम्म
5	1	4	1	14	4	333	1875	94	32	96.150108	पारसको
4	1	4	1	15	0	28	1920	374	38	-1	
5	1	4	1	15	1	28	1930	97	23	96.350723	नाकबाट
5	1	4	1	15	2	140	1921	71	31	95.974960	बगेको
5	1	4	1	15	3	226	1930	55	23	93.162239	रगत
5	1	4	1	15	4	298	1920	104	38	91.674889	थामिएको
4	1	4	1	16	0	28	1964	435	44	-1	
5	1	4	1	16	1	28	1964	41	37	92.952171	छैन
5	1	4	1	16	2	86	1976	2	22	92.553223	।
5	1	4	1	16	3	105	1964	128	35	89.773705	बैंककस्थित
5	1	4	1	16	4	247	1966	119	34	91.132629	कार्यवाहक
5	1	4	1	16	5	381	1976	82	32	96.674400	राजदूत
4	1	4	1	17	0	28	2011	441	42	-1	
5	1	4	1	17	1	28	2012	91	32	92.409889	डोरनाथ
5	1	4	1	17	2	136	2011	116	36	96.489136	अर्याललाई
